<<<<<<< HEAD
,Country,Year,Maize yield_kg/ha,rainfall_mm
0,Cameroon,2000,2461.5,1803.57
1,Cameroon,2001,2440.4,1681.92
2,Cameroon,2002,2067.9,1733.4
3,Cameroon,2003,1990.8,1704.82
4,Cameroon,2004,1916.6,1741.73
5,Cameroon,2005,2133.4,1593.05
6,Cameroon,2006,2222.4,1545.94
7,Cameroon,2007,2000.0,1764.19
8,Cameroon,2008,2000.0,1639.45
9,Cameroon,2009,1978.7,1712.82
10,Cameroon,2010,1974.1,1634.85
11,Cameroon,2011,2024.0,1611.7
12,Cameroon,2012,1715.2,1691.06
13,Cameroon,2013,1978.7,1734.91
14,Cameroon,2014,1764.5,1795.21
15,Cameroon,2015,1740.6,1638.41
16,Cameroon,2016,1980.0,1806.99
17,Cameroon,2017,1840.0,1711.44
18,Cameroon,2018,1845.6,1664.44
19,Cameroon,2019,1905.5,1910.41
20,Cameroon,2020,1784.7,1624.95
21,Cameroon,2021,1770.7,1608.75
22,Cameroon,2022,1692.3,1566.45
23,Cameroon,2023,1833.3,1728.3
24,Côte d'Ivoire,2000,2028.7,1155.77
25,Côte d'Ivoire,2001,2097.5,1110.48
26,Côte d'Ivoire,2002,2168.7,1258.66
27,Côte d'Ivoire,2003,2242.2,1345.46
28,Côte d'Ivoire,2004,2224.2,1218.3
29,Côte d'Ivoire,2005,2113.8,1250.55
30,Côte d'Ivoire,2006,2115.7,1162.2
31,Côte d'Ivoire,2007,1764.3,1331.9
32,Côte d'Ivoire,2008,2031.3,1385.73
33,Côte d'Ivoire,2009,1996.6,1235.83
34,Côte d'Ivoire,2010,1980.0,1373.35
35,Côte d'Ivoire,2011,1896.9,1200.7
36,Côte d'Ivoire,2012,2120.0,1264.74
37,Côte d'Ivoire,2013,2147.9,1145.01
38,Côte d'Ivoire,2014,2149.1,1322.12
39,Côte d'Ivoire,2015,2060.8,1153.33
40,Côte d'Ivoire,2016,2048.6,1204.15
41,Côte d'Ivoire,2017,2076.3,1270.67
42,Côte d'Ivoire,2018,2094.7,1446.9
43,Côte d'Ivoire,2019,2026.5,1448.49
44,Côte d'Ivoire,2020,2177.3,1152.27
45,Côte d'Ivoire,2021,2110.3,1265.8
46,Côte d'Ivoire,2022,2221.0,1250.88
47,Côte d'Ivoire,2023,2622.7,1161.98
48,Ghana,2000,1457.8,1002.7
49,Ghana,2001,1315.0,886.26
50,Ghana,2002,1490.0,1119.62
51,Ghana,2003,1627.2,1140.32
52,Ghana,2004,1579.4,957.97
53,Ghana,2005,1561.3,1022.82
54,Ghana,2006,1499.4,985.2
55,Ghana,2007,1543.7,1118.65
56,Ghana,2008,1737.1,1110.0
57,Ghana,2009,1696.9,1071.4
58,Ghana,2010,1887.4,1162.42
59,Ghana,2011,1645.8,1052.34
60,Ghana,2012,1871.2,1132.49
61,Ghana,2013,1724.0,998.24
62,Ghana,2014,1729.1,1193.97
63,Ghana,2015,1921.8,976.74
64,Ghana,2016,1950.0,1209.41
65,Ghana,2017,2011.2,1120.45
66,Ghana,2018,2258.9,1338.44
67,Ghana,2019,2531.3,1335.04
68,Ghana,2020,2582.8,1014.24
69,Ghana,2021,2530.0,1052.25
70,Ghana,2022,2504.4,1093.49
71,Ghana,2023,2753.1,1171.78
72,Nigeria,2000,1300.1,1033.15
73,Nigeria,2001,1399.9,998.16
74,Nigeria,2002,1489.9,1051.55
75,Nigeria,2003,1499.9,1007.59
76,Nigeria,2004,1600.2,999.91
77,Nigeria,2005,1659.8,988.48
78,Nigeria,2006,1818.2,1008.7
79,Nigeria,2007,1704.9,1040.05
80,Nigeria,2008,1957.1,1087.07
81,Nigeria,2009,2196.1,1037.43
82,Nigeria,2010,1850.2,1127.56
83,Nigeria,2011,1627.1,985.73
84,Nigeria,2012,1511.8,1193.53
85,Nigeria,2013,1461.6,1053.83
86,Nigeria,2014,1700.2,1176.6
87,Nigeria,2015,1718.8,1030.93
88,Nigeria,2016,1783.7,1178.99
89,Nigeria,2017,1664.1,1052.2
90,Nigeria,2018,1671.6,1081.44
91,Nigeria,2019,1857.2,1264.21
92,Nigeria,2020,2050.6,1001.08
93,Nigeria,2021,2053.8,888.86
94,Nigeria,2022,2232.6,993.73
95,Nigeria,2023,1939.1,976.94
=======
,Country,Year,Maize yield_kg/ha,rainfall_mm
0,Cameroon,2000,2461.5,1803.57
1,Cameroon,2001,2440.4,1681.92
2,Cameroon,2002,2067.9,1733.4
3,Cameroon,2003,1990.8,1704.82
4,Cameroon,2004,1916.6,1741.73
5,Cameroon,2005,2133.4,1593.05
6,Cameroon,2006,2222.4,1545.94
7,Cameroon,2007,2000.0,1764.19
8,Cameroon,2008,2000.0,1639.45
9,Cameroon,2009,1978.7,1712.82
10,Cameroon,2010,1974.1,1634.85
11,Cameroon,2011,2024.0,1611.7
12,Cameroon,2012,1715.2,1691.06
13,Cameroon,2013,1978.7,1734.91
14,Cameroon,2014,1764.5,1795.21
15,Cameroon,2015,1740.6,1638.41
16,Cameroon,2016,1980.0,1806.99
17,Cameroon,2017,1840.0,1711.44
18,Cameroon,2018,1845.6,1664.44
19,Cameroon,2019,1905.5,1910.41
20,Cameroon,2020,1784.7,1624.95
21,Cameroon,2021,1770.7,1608.75
22,Cameroon,2022,1692.3,1566.45
23,Cameroon,2023,1833.3,1728.3
24,Côte d'Ivoire,2000,2028.7,1155.77
25,Côte d'Ivoire,2001,2097.5,1110.48
26,Côte d'Ivoire,2002,2168.7,1258.66
27,Côte d'Ivoire,2003,2242.2,1345.46
28,Côte d'Ivoire,2004,2224.2,1218.3
29,Côte d'Ivoire,2005,2113.8,1250.55
30,Côte d'Ivoire,2006,2115.7,1162.2
31,Côte d'Ivoire,2007,1764.3,1331.9
32,Côte d'Ivoire,2008,2031.3,1385.73
33,Côte d'Ivoire,2009,1996.6,1235.83
34,Côte d'Ivoire,2010,1980.0,1373.35
35,Côte d'Ivoire,2011,1896.9,1200.7
36,Côte d'Ivoire,2012,2120.0,1264.74
37,Côte d'Ivoire,2013,2147.9,1145.01
38,Côte d'Ivoire,2014,2149.1,1322.12
39,Côte d'Ivoire,2015,2060.8,1153.33
40,Côte d'Ivoire,2016,2048.6,1204.15
41,Côte d'Ivoire,2017,2076.3,1270.67
42,Côte d'Ivoire,2018,2094.7,1446.9
43,Côte d'Ivoire,2019,2026.5,1448.49
44,Côte d'Ivoire,2020,2177.3,1152.27
45,Côte d'Ivoire,2021,2110.3,1265.8
46,Côte d'Ivoire,2022,2221.0,1250.88
47,Côte d'Ivoire,2023,2622.7,1161.98
48,Ghana,2000,1457.8,1002.7
49,Ghana,2001,1315.0,886.26
50,Ghana,2002,1490.0,1119.62
51,Ghana,2003,1627.2,1140.32
52,Ghana,2004,1579.4,957.97
53,Ghana,2005,1561.3,1022.82
54,Ghana,2006,1499.4,985.2
55,Ghana,2007,1543.7,1118.65
56,Ghana,2008,1737.1,1110.0
57,Ghana,2009,1696.9,1071.4
58,Ghana,2010,1887.4,1162.42
59,Ghana,2011,1645.8,1052.34
60,Ghana,2012,1871.2,1132.49
61,Ghana,2013,1724.0,998.24
62,Ghana,2014,1729.1,1193.97
63,Ghana,2015,1921.8,976.74
64,Ghana,2016,1950.0,1209.41
65,Ghana,2017,2011.2,1120.45
66,Ghana,2018,2258.9,1338.44
67,Ghana,2019,2531.3,1335.04
68,Ghana,2020,2582.8,1014.24
69,Ghana,2021,2530.0,1052.25
70,Ghana,2022,2504.4,1093.49
71,Ghana,2023,2753.1,1171.78
72,Nigeria,2000,1300.1,1033.15
73,Nigeria,2001,1399.9,998.16
74,Nigeria,2002,1489.9,1051.55
75,Nigeria,2003,1499.9,1007.59
76,Nigeria,2004,1600.2,999.91
77,Nigeria,2005,1659.8,988.48
78,Nigeria,2006,1818.2,1008.7
79,Nigeria,2007,1704.9,1040.05
80,Nigeria,2008,1957.1,1087.07
81,Nigeria,2009,2196.1,1037.43
82,Nigeria,2010,1850.2,1127.56
83,Nigeria,2011,1627.1,985.73
84,Nigeria,2012,1511.8,1193.53
85,Nigeria,2013,1461.6,1053.83
86,Nigeria,2014,1700.2,1176.6
87,Nigeria,2015,1718.8,1030.93
88,Nigeria,2016,1783.7,1178.99
89,Nigeria,2017,1664.1,1052.2
90,Nigeria,2018,1671.6,1081.44
91,Nigeria,2019,1857.2,1264.21
92,Nigeria,2020,2050.6,1001.08
93,Nigeria,2021,2053.8,888.86
94,Nigeria,2022,2232.6,993.73
95,Nigeria,2023,1939.1,976.94
>>>>>>> 22a504a7c22791069bd843278119f47b9107eb9f
